dataset,protocol,nodes,traffic_or_rate,seed,metric,reference_value,rerun_value,absolute_difference,relative_difference_percent,tolerance,status
V3-CaseA,olsr,100,medium,25,PathChanges,3068,3068,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,25,PDR,33.167,33.167,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,ThroughputKbps,279.616,279.616,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,AverageDelaySec,0.295463,0.295463,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,AverageJitterSec,0.163244,0.163244,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,AverageHopCount,1.37308,1.37308,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,AverageLinkUtilization,0.000539881,0.000539881,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,25,MaximumLinkUtilization,0.0240691,0.0240691,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,PacketsSent,52554,52554,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,30,PacketsReceived,15870,15870,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,30,PacketLoss,36684,36684,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,30,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,30,PathChanges,3376,3376,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,100,medium,30,PDR,30.1975,30.1975,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,ThroughputKbps,253.92,253.92,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,AverageDelaySec,0.32494,0.32494,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,AverageJitterSec,0.172093,0.172093,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,AverageHopCount,1.47253,1.47253,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,AverageLinkUtilization,0.000579856,0.000579856,0,0,0.01% relative,PASS
V3-CaseA,olsr,100,medium,30,MaximumLinkUtilization,0.024407,0.024407,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,static,10,medium,20,PacketsReceived,1579,1579,0,0,exact (0),PASS
V3-CaseA,static,10,medium,20,PacketLoss,3691,3691,0,0,exact (0),PASS
V3-CaseA,static,10,medium,20,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,20,PathChanges,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,20,UnreachableSensors,8,8,0,0,exact (0),PASS
V3-CaseA,static,10,medium,20,PDR,29.962,29.962,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,ThroughputKbps,25.264,25.264,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,AverageDelaySec,0.0196766,0.0196766,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,AverageJitterSec,0.0105954,0.0105954,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,AverageHopCount,1.5,1.5,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,AverageLinkUtilization,0.00972146,0.00972146,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,20,MaximumLinkUtilization,0.0255437,0.0255437,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,static,10,medium,25,PacketsReceived,3261,3261,0,0,exact (0),PASS
V3-CaseA,static,10,medium,25,PacketLoss,2009,2009,0,0,exact (0),PASS
V3-CaseA,static,10,medium,25,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,25,PathChanges,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,25,PDR,61.8786,61.8786,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,ThroughputKbps,52.176,52.176,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,AverageDelaySec,0.027339,0.027339,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,AverageJitterSec,0.0107485,0.0107485,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,AverageHopCount,1.5,1.5,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,AverageLinkUtilization,0.00948597,0.00948597,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,25,MaximumLinkUtilization,0.026665,0.026665,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,static,10,medium,30,PacketsReceived,2465,2465,0,0,exact (0),PASS
V3-CaseA,static,10,medium,30,PacketLoss,2805,2805,0,0,exact (0),PASS
V3-CaseA,static,10,medium,30,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,30,PathChanges,0,0,0,0,exact (0),PASS
V3-CaseA,static,10,medium,30,UnreachableSensors,3,3,0,0,exact (0),PASS
V3-CaseA,static,10,medium,30,PDR,46.7742,46.7742,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,ThroughputKbps,39.44,39.44,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,AverageDelaySec,0.0261671,0.0261671,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,AverageJitterSec,0.009738,0.009738,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,AverageHopCount,1.42857,1.42857,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,AverageLinkUtilization,0.00790845,0.00790845,0,0,0.01% relative,PASS
V3-CaseA,static,10,medium,30,MaximumLinkUtilization,0.0260045,0.0260045,0,0,0.01% relative,PASS
V3-CaseA,static,50,medium,20,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,static,50,medium,20,PacketsReceived,8819,8819,0,0,exact (0),PASS
V3-CaseA,static,50,medium,20,PacketLoss,17531,17531,0,0,exact (0),PASS
V3-CaseA,static,50,medium,20,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,static,50,medium,20,PathChanges,0,0,0,0,exact (0),PASS
