dataset_stage,protocol,node_count,traffic,mobility,offered_rate_kbps,seed_count,pdr_mean,pdr_sd,throughput_mean,throughput_sd,delay_mean,delay_sd,jitter_mean,jitter_sd,packet_loss_mean,gw_airtime,ring1_airtime,mac_queue_drops_mean,phy_rx_drops_mean,max_retry_drops_mean,routing_failures_mean,mean_hop_count
Offered-rate-sweep,static,50,high(label)/offered-rate-varied,static,16,3,39.85,1.83,336.00,15.46,0.14498,0.03015,0.06230,0.01176,31700.0,0.5617,0.5424,3712.7,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",1269.7,0,n/a
Offered-rate-sweep,static,50,high(label)/offered-rate-varied,static,12,3,27.42,2.84,173.50,17.96,0.07374,0.00937,0.03326,0.00205,28706.3,0.2921,0.2802,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",227.3,0,n/a
Offered-rate-sweep,static,50,high(label)/offered-rate-varied,static,8,3,34.35,2.28,144.81,9.63,0.08942,0.00535,0.04003,0.00247,17299.3,0.2261,0.2174,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",305.7,0,n/a
Offered-rate-sweep,static,50,high(label)/offered-rate-varied,static,4,3,32.24,0.60,67.83,1.26,0.08121,0.00290,0.03742,0.00130,8910.3,0.1062,0.1026,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",94.0,0,n/a
Offered-rate-sweep,static,75,high(label)/offered-rate-varied,static,16,3,28.94,4.47,366.02,56.57,0.15252,0.02408,0.06797,0.00870,56174.0,0.5949,0.5802,4145.3,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",1204.7,0,n/a
Offered-rate-sweep,static,75,high(label)/offered-rate-varied,static,12,3,23.59,3.24,223.88,30.78,0.08907,0.00211,0.04304,0.00275,45332.7,0.3499,0.3373,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",491.7,0,n/a
Offered-rate-sweep,static,75,high(label)/offered-rate-varied,static,8,3,27.51,4.51,173.96,28.55,0.11038,0.02021,0.04840,0.00717,28652.3,0.2725,0.2585,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",419.3,0,n/a
Offered-rate-sweep,static,75,high(label)/offered-rate-varied,static,4,3,25.87,0.83,81.66,2.63,0.09760,0.00519,0.04525,0.00145,14621.3,0.1246,0.1198,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",167.0,0,n/a
Offered-rate-sweep,static,100,high(label)/offered-rate-varied,static,16,3,21.79,1.91,367.39,32.15,0.20347,0.04221,0.07819,0.00994,82438.3,0.6491,0.6432,11057.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",1738.0,0,n/a
Offered-rate-sweep,static,100,high(label)/offered-rate-varied,static,12,3,24.55,2.28,310.66,28.91,0.17349,0.03379,0.07447,0.01233,59683.7,0.5339,0.5217,5181.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",1111.7,0,n/a
Offered-rate-sweep,static,100,high(label)/offered-rate-varied,static,8,3,28.16,5.47,237.43,46.12,0.17112,0.02933,0.06979,0.01249,37860.3,0.3913,0.3733,480.3,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",1182.3,0,n/a
Offered-rate-sweep,static,100,high(label)/offered-rate-varied,static,4,3,20.77,5.87,87.41,24.72,0.11087,0.02138,0.05178,0.00919,20836.7,0.1402,0.1348,0.0,"n/a (pernode collision, aggregate phy_rx not extracted to this file)",183.7,0,n/a
Static-N50-diagnostic,static,50,high(label)/offered-rate-varied,static,16,3,39.85,1.83,n/a,n/a,n/a,n/a,n/a,n/a,31700.0,n/a,n/a,3712.7,n/a,1269.7,0,n/a
Static-N50-diagnostic,static,50,high(label)/offered-rate-varied,static,12,3,27.42,2.84,n/a,n/a,n/a,n/a,n/a,n/a,28706.3,n/a,n/a,0.0,n/a,227.3,0,n/a
Static-N50-diagnostic,static,50,high(label)/offered-rate-varied,static,8,3,34.35,2.28,n/a,n/a,n/a,n/a,n/a,n/a,17299.3,n/a,n/a,0.0,n/a,305.7,0,n/a
Static-N50-diagnostic,static,50,high(label)/offered-rate-varied,static,4,3,32.24,0.60,n/a,n/a,n/a,n/a,n/a,n/a,8910.3,n/a,n/a,0.0,n/a,94.0,0,n/a
